symbol,ticker,eodhd_symbol,name,country,exchange,currency,type,isin,sector,industry,gics_sector,gics_sub_industry,is_delisted,delisted_date,metadata_source
AAPL,AAPL,AAPL.US,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005,Technology,Consumer Electronics,Information Technology,Consumer Electronics,False,NA,eodhd_fundamentals_general
MSFT,MSFT,MSFT.US,Microsoft Corporation,USA,NASDAQ,USD,Common Stock,US5949181045,Technology,Software - Infrastructure,Information Technology,Software - Infrastructure,False,NA,eodhd_fundamentals_general
NVDA,NVDA,NVDA.US,NVIDIA Corporation,USA,NASDAQ,USD,Common Stock,US67066G1040,Technology,Semiconductors,Information Technology,Semiconductors,False,NA,eodhd_fundamentals_general
AMZN,AMZN,AMZN.US,Amazon.com Inc,USA,NASDAQ,USD,Common Stock,US0231351067,Consumer Cyclical,Internet Retail,Consumer Discretionary,Internet Retail,False,NA,eodhd_fundamentals_general
GOOGL,GOOGL,GOOGL.US,Alphabet Inc Class A,USA,NASDAQ,USD,Common Stock,US02079K3059,Communication Services,Internet Content & Information,Communication Services,Internet Content & Information,False,NA,eodhd_fundamentals_general
META,META,META.US,Meta Platforms Inc.,USA,NASDAQ,USD,Common Stock,US30303M1027,Communication Services,Internet Content & Information,Communication Services,Internet Content & Information,False,NA,eodhd_fundamentals_general
JPM,JPM,JPM.US,JPMorgan Chase & Co,USA,NYSE,USD,Common Stock,US46625H1005,Financial Services,Banks - Diversified,Financials,Banks - Diversified,False,NA,eodhd_fundamentals_general
XOM,XOM,XOM.US,Exxon Mobil Corp,USA,NYSE,USD,Common Stock,US30231G1022,Energy,Oil & Gas Integrated,Energy,Oil & Gas Integrated,False,NA,eodhd_fundamentals_general
WMT,WMT,WMT.US,Walmart Inc.,USA,NASDAQ,USD,Common Stock,US9311421039,Consumer Defensive,Discount Stores,Consumer Staples,Discount Stores,False,NA,eodhd_fundamentals_general
A,A,A.US,Agilent Technologies Inc,USA,NYSE,USD,Common Stock,US00846U1016,Healthcare,Diagnostics & Research,Health Care,Diagnostics & Research,False,NA,eodhd_fundamentals_general
