role,eodhd_symbol,ticker,status,row_count,start_date,end_date,error,finished_utc
stock,AAPL.US,AAPL,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:55:34Z
stock,MSFT.US,MSFT,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:55:35Z
stock,NVDA.US,NVDA,ok,6856,1995-01-01,2026-04-24,,2026-04-28T19:55:36Z
stock,AMZN.US,AMZN,ok,7281,1995-01-01,2026-04-24,,2026-04-28T19:55:38Z
stock,GOOGL.US,GOOGL,ok,5455,1995-01-01,2026-04-24,,2026-04-28T19:55:39Z
stock,META.US,META,ok,3503,1995-01-01,2026-04-24,,2026-04-28T19:55:40Z
stock,JPM.US,JPM,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:55:41Z
stock,XOM.US,XOM,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:55:42Z
stock,WMT.US,WMT,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:55:43Z
stock,A.US,A,ok,6647,1995-01-01,2026-04-24,,2026-04-28T19:55:45Z
stock,AA.US,AA,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:55:47Z
stock,AACB.US,AACB,ok,264,1995-01-01,2026-04-24,,2026-04-28T19:55:48Z
stock,AACG.US,AACG,ok,4589,1995-01-01,2026-04-24,,2026-04-28T19:55:49Z
stock,AACO.US,AACO,ok,10,1995-01-01,2026-04-24,,2026-04-28T19:55:49Z
stock,AAL.US,AAL,ok,5176,1995-01-01,2026-04-24,,2026-04-28T19:55:50Z
stock,AAM.US,AAM,ok,400,1995-01-01,2026-04-24,,2026-04-28T19:55:51Z
stock,AAME.US,AAME,ok,7218,1995-01-01,2026-04-24,,2026-04-28T19:55:52Z
stock,AAMI.US,AAMI,ok,2902,1995-01-01,2026-04-24,,2026-04-28T19:55:53Z
stock,AAOI.US,AAOI,ok,3163,1995-01-01,2026-04-24,,2026-04-28T19:55:54Z
stock,AAON.US,AAON,ok,7867,1995-01-01,2026-04-24,,2026-04-28T19:55:56Z
stock,AAP.US,AAP,ok,6139,1995-01-01,2026-04-24,,2026-04-28T19:55:57Z
