date,ticker,open,high,low,close,volume,adjusted,dollar_volume
2024-01-02,SYN1,10.00,10.30,9.90,10.20,1000,true,10200
2024-01-03,SYN1,10.20,10.50,10.10,10.40,1100,true,11440
2024-01-04,SYN1,10.40,10.70,10.20,10.60,1200,true,12720
2024-01-05,SYN1,10.60,10.80,10.30,10.50,1150,true,12075
2024-01-02,SYN2,20.00,20.20,19.80,20.10,900,true,18090
2024-01-03,SYN2,20.10,20.30,19.90,20.00,950,true,19000
2024-01-04,SYN2,20.00,20.40,19.90,20.30,970,true,19691
2024-01-05,SYN2,20.30,20.60,20.10,20.50,980,true,20090
2024-01-02,SPY,100.00,100.50,99.80,100.20,5000,true,501000
2024-01-03,SPY,100.20,100.80,100.00,100.60,5200,true,523120
2024-01-04,SPY,100.60,101.00,100.40,100.80,5100,true,514080
2024-01-05,SPY,100.80,101.10,100.50,100.70,5300,true,533710
