date,ticker,open,high,low,close,volume,vwap,transactions,timestamp_ms,adjusted,dollar_volume
2024-04-26,SPY,506.35,509.88,505.7,508.26,64306118.0,508.0108,491759,1714104000000,True,32684227534.68
2024-04-29,SPY,510.09,510.75,507.25,510.06,46415449.0,509.5696,440177,1714363200000,True,23674663916.94
2024-04-30,SPY,508.56,509.56,501.98,501.98,77483566.0,505.7346,575798,1714449600000,True,38895200460.68
2024-05-01,SPY,501.38,508.19,499.865,500.35,80242839.0,502.559,733935,1714536000000,True,40149504493.65
2024-05-02,SPY,504.15,505.89,499.55,505.03,62550179.0,503.3411,532686,1714622400000,True,31589716900.37
2024-05-03,SPY,511.16,512.55,508.56,511.29,72756709.0,510.5637,579112,1714708800000,True,37199777744.61
2024-05-06,SPY,513.75,516.61,513.3,516.57,47264703.0,514.6368,444751,1714968000000,True,24415527628.710003
2024-05-07,SPY,517.56,518.57,516.45,517.14,52561299.0,517.4889,432297,1715054400000,True,27181550164.86
2024-05-08,SPY,515.26,517.74,515.14,517.19,42047214.0,516.9213,369156,1715140800000,True,21746398608.660004
2024-05-09,SPY,517.38,520.2074,516.705,520.17,43643668.0,519.1099,399521,1715227200000,True,22702126783.559998
2024-05-10,SPY,521.81,522.635,519.59,520.84,52233171.0,520.8834,428544,1715313600000,True,27205124783.640003
2024-05-13,SPY,522.56,522.67,519.74,520.91,36716361.0,521.0737,360851,1715572800000,True,19125919608.51
2024-05-14,SPY,521.11,523.83,520.56,523.3,57535867.0,522.2998,417237,1715659200000,True,30108519201.1
2024-05-15,SPY,525.83,530.08,525.18,529.78,59504897.0,528.0624,510553,1715745600000,True,31524504332.66
2024-05-16,SPY,529.88,531.5218,528.54,528.69,50244827.0,529.8399,436763,1715832000000,True,26563937586.63
2024-05-17,SPY,528.81,529.52,527.32,529.45,59187585.0,528.8498,372347,1715918400000,True,31336866878.250004
2024-05-20,SPY,529.57,531.5601,529.17,530.06,37764206.0,530.2808,331754,1716177600000,True,20017295032.359997
2024-05-21,SPY,529.28,531.52,529.07,531.36,33437001.0,530.4523,306615,1716264000000,True,17767084851.36
2024-05-22,SPY,530.65,531.38,527.6,529.83,48389968.0,529.7843,340286,1716350400000,True,25638456745.440002
2024-05-23,SPY,532.96,533.07,524.72,525.96,57211197.0,528.0016,440800,1716436800000,True,30090801174.120003
2024-05-24,SPY,527.85,530.27,526.881,529.44,41291076.0,528.9137,328934,1716523200000,True,21861147277.440002
