ticker,anchor_date,window_start_date,window_end_date,target_horizon_days,target_return,market_adjusted_target_return,benchmark_ticker,benchmark_anchor_date,benchmark_future_date,available_window_rows
AAPL,2026-03-30,2026-01-02,2026-03-30,5,0.027855492032599516,-0.01526364336939734,SPY,2026-03-30,2026-04-07,60
AMZN,2026-03-30,2026-01-02,2026-03-30,5,0.06379696441900973,0.020677829017012872,SPY,2026-03-30,2026-04-07,60
MSFT,2026-03-30,2026-01-02,2026-03-30,5,0.03713505683084484,-0.005984078571152018,SPY,2026-03-30,2026-04-07,60
NVDA,2026-03-30,2026-01-02,2026-03-30,5,0.07828298117091492,0.03516384576891807,SPY,2026-03-30,2026-04-07,60
AAPL,2026-03-31,2026-01-05,2026-03-31,5,0.020134757082627353,-0.019336903894707547,SPY,2026-03-31,2026-04-08,60
AMZN,2026-03-31,2026-01-05,2026-03-31,5,0.062322946175637384,0.022851285198302485,SPY,2026-03-31,2026-04-08,60
MSFT,2026-03-31,2026-01-05,2026-03-31,5,0.011238079801172418,-0.02823358117616248,SPY,2026-03-31,2026-04-08,60
NVDA,2026-03-31,2026-01-05,2026-03-31,5,0.044036697247706424,0.004565036270371525,SPY,2026-03-31,2026-04-08,60
AAPL,2026-04-01,2026-01-06,2026-04-01,5,0.01901185306888875,-0.018638473528999056,SPY,2026-04-01,2026-04-09,60
AMZN,2026-04-01,2026-01-06,2026-04-01,5,0.1096072564942776,0.0719569298963898,SPY,2026-04-01,2026-04-09,60
MSFT,2026-04-01,2026-01-06,2026-04-01,5,0.010017056068440722,-0.027633270529447085,SPY,2026-04-01,2026-04-09,60
NVDA,2026-04-01,2026-01-06,2026-04-01,5,0.04642958748221915,0.008779260884331341,SPY,2026-04-01,2026-04-09,60
AAPL,2026-04-02,2026-01-07,2026-04-02,5,0.01781806814629583,-0.018212610535679685,SPY,2026-04-02,2026-04-10,60
AMZN,2026-04-02,2026-01-07,2026-04-02,5,0.13638747199313528,0.10035679331115976,SPY,2026-04-02,2026-04-10,60
MSFT,2026-04-02,2026-01-07,2026-04-02,5,-0.00693514700369513,-0.042965825685670644,SPY,2026-04-02,2026-04-10,60
NVDA,2026-04-02,2026-01-07,2026-04-02,5,0.06336321100400255,0.027332532322027037,SPY,2026-04-02,2026-04-10,60
AAPL,2026-04-06,2026-01-08,2026-04-06,5,0.0013134512864094727,-0.03992006365447964,SPY,2026-04-06,2026-04-13,60
AMZN,2026-04-06,2026-01-08,2026-04-06,5,0.12735560881620378,0.08612209387531466,SPY,2026-04-06,2026-04-13,60
MSFT,2026-04-06,2026-01-08,2026-04-06,5,0.030814202960738113,-0.010419311980151003,SPY,2026-04-06,2026-04-13,60
NVDA,2026-04-06,2026-01-08,2026-04-06,5,0.06569466336410734,0.024461148423218226,SPY,2026-04-06,2026-04-13,60
AAPL,2026-04-07,2026-01-09,2026-04-07,5,0.021025641025640862,-0.03243147495991794,SPY,2026-04-07,2026-04-14,60
AMZN,2026-04-07,2026-01-09,2026-04-07,5,0.16489685175656077,0.11143973577100197,SPY,2026-04-07,2026-04-14,60
MSFT,2026-04-07,2026-01-09,2026-04-07,5,0.055924145155658245,0.002467029170099444,SPY,2026-04-07,2026-04-14,60
NVDA,2026-04-07,2026-01-09,2026-04-07,5,0.10336889387984272,0.049911777894283915,SPY,2026-04-07,2026-04-14,60
AAPL,2026-04-08,2026-01-12,2026-04-08,5,0.02908458864426433,-0.0063142959876199,SPY,2026-04-08,2026-04-15,60
AMZN,2026-04-08,2026-01-12,2026-04-08,5,0.12316384180790951,0.08776495717602528,SPY,2026-04-08,2026-04-15,60
MSFT,2026-04-08,2026-01-12,2026-04-08,5,0.09854940827612002,0.06315052364423579,SPY,2026-04-08,2026-04-15,60
NVDA,2026-04-08,2026-01-12,2026-04-08,5,0.09221221441124783,0.0568133297793636,SPY,2026-04-08,2026-04-15,60
AAPL,2026-04-09,2026-01-13,2026-04-09,5,0.011171254174824341,-0.020818273850943703,SPY,2026-04-09,2026-04-16,60
AMZN,2026-04-09,2026-01-13,2026-04-09,5,0.06869248876524714,0.036702960739479096,SPY,2026-04-09,2026-04-16,60
MSFT,2026-04-09,2026-01-13,2026-04-09,5,0.12649100704961524,0.0945014790238472,SPY,2026-04-09,2026-04-16,60
NVDA,2026-04-09,2026-01-13,2026-04-09,5,0.07851666576042637,0.04652713773465833,SPY,2026-04-09,2026-04-16,60
AAPL,2026-04-10,2026-01-14,2026-04-10,5,0.03743089680589673,-0.007722607447480767,SPY,2026-04-10,2026-04-17,60
AMZN,2026-04-10,2026-01-14,2026-04-10,5,0.051094890510948954,0.005941386257571457,SPY,2026-04-10,2026-04-17,60
MSFT,2026-04-10,2026-01-14,2026-04-10,5,0.13999514654730771,0.09484164229393022,SPY,2026-04-10,2026-04-17,60
NVDA,2026-04-10,2026-01-14,2026-04-10,5,0.06918305677781911,0.02402955252444161,SPY,2026-04-10,2026-04-17,60
AAPL,2026-04-13,2026-01-15,2026-04-13,5,0.053433641975308754,0.02046468701247539,SPY,2026-04-13,2026-04-20,60
AMZN,2026-04-13,2026-01-15,2026-04-13,5,0.03497436324982295,0.002005408286989585,SPY,2026-04-13,2026-04-20,60
MSFT,2026-04-13,2026-01-15,2026-04-13,5,0.08767593724796408,0.05470698228513071,SPY,2026-04-13,2026-04-20,60
NVDA,2026-04-13,2026-01-15,2026-04-13,5,0.0673498494532776,0.034380894490444236,SPY,2026-04-13,2026-04-20,60
AAPL,2026-04-14,2026-01-16,2026-04-14,5,0.02835838194954232,0.014505892245311625,SPY,2026-04-14,2026-04-21,60
AMZN,2026-04-14,2026-01-16,2026-04-14,5,0.003574010119669069,-0.010278479584561628,SPY,2026-04-14,2026-04-21,60
MSFT,2026-04-14,2026-01-16,2026-04-14,5,0.07898552567983508,0.06513303597560438,SPY,2026-04-14,2026-04-21,60
NVDA,2026-04-14,2026-01-16,2026-04-14,5,0.017149254490865573,0.003296764786634876,SPY,2026-04-14,2026-04-21,60
